Hindenburgdamm,StZe,W,18 A,F,gut  D,,Hirschkäferweg,Span,W,,K,einfach  D
Hindenburgdamm,StZe,W,19 - 20 A,F,gut * D,,Hirschpfad,MaHe,O,,K,mittel  D
Hindenburgdamm,StZe,W,20 B - 20 D,F,gut  D,,Hirschsprung,TrKö,O 1,- 4,F,mittel  D
Hindenburgdamm,StZe,W,21,F,gut * D,,Hirschsprung,TrKö,O 5,,F,mittel * D
Hindenburgdamm,StZe,W,21 A - 21 B,F,gut  D,,Hirschsprung,TrKö,O 6,- 9,F,mittel  D
Hindenburgdamm,StZe,W,22 - 35,F,gut * D,,Hirseländerweg,TrKö,O 1,- 175,U,mittel  D
Hindenburgdamm,StZe,W,40 - 57 E,F,mittel * D,,Hirseländerweg,TrKö,O 2,,G,mittel * D
Hindenburgdamm,StZe,W,58 - 62,F,mittel * Z,,Hirseländerweg,TrKö,O 4,- 176,G,mittel  D
Hindenburgdamm,StZe,W,64 - 65 B,F,mittel Z,,Hirseweg,MaHe,O,,K,mittel  D
Hindenburgdamm,StZe,W,65 C - 65 E,F,mittel * Z,,Hirsinger Straße,MaHe,O 2,- 6,G,mittel  D
Hindenburgdamm,StZe,W,68,F,gut Z,,Hirsinger Straße,MaHe,O 3,- 13,U,mittel  D
Hindenburgdamm,StZe,W,69 - 78 B,F,mittel * Z,,Hirsinger Straße,MaHe,O 8,- 42,G,einfach  D
Hindenburgdamm,StZe,W,79 - 82,F,gut * D,,Hirsinger Straße,MaHe,O 29,- 41,U,einfach  D
Hindenburgdamm,StZe,W,83,F,gut  D,,Hirtenfließ,TrKö,O 2,- 6,G,einfach * D
Hindenburgdamm,StZe,W,83 A - 87,F,gut * D,,Hirtenfließ,TrKö,O 3,,U,einfach  D
Hindenburgdamm,StZe,W,87 A,F,gut  D,,Hirtenfließ,TrKö,O 3 A,- 5,U,einfach * D
Hindenburgdamm,StZe,W,88 - 93 B,F,gut * D,,Hirtengarten,TrKö,O,,K,mittel  D
Hindenburgdamm,StZe,W,93 C,F,gut  D,,Hirtenstraße,Mitt,O 4,,F,mittel Z
Hindenburgdamm,StZe,W,93 D - 93 E,F,gut * D,,Hirtenstraße,Mitt,O 6,- 7,F,mittel * Z
Hindenburgdamm,StZe,W,93 F - 93 K,F,gut  D,,Hirtenstraße,Mitt,O 8,- 10,F,mittel Z
Hindenburgdamm,StZe,W,94 - 96,F,gut * D,,Hirtenstraße,Mitt,O 10 A,- 13,F,gut Z
Hindenburgdamm,StZe,W,96 A,F,gut  D,,Hirtenstraße,Mitt,O 14,- 15,F,gut * Z
Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7,,Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7
Hirtenstraße,Mitt,O 16,- 18,F,gut Z,,Hochkönigweg,Neuk,W,29 - 41,U,mittel  D
Hirtenstraße,Mitt,O 19,,F,mittel Z,,Hochkönigweg,Neuk,W,49 - 63,U,einfach  D
Hirtestraße,TrKö,O 1,- 8,F,mittel Z,,Hochlandstraße,TrKö,O,1 - 9,U,mittel * D
Hirtestraße,TrKö,O 9,- 22,F,mittel * Z,,Hochlandstraße,TrKö,O,2 - 6 A,G,mittel * D
Hirtestraße,TrKö,O 23,- 24,F,mittel Z,,Hochlandstraße,TrKö,O,8 - 78,G,mittel  D
Hirtestraße,TrKö,O 25,- 29,F,mittel * Z,,Hochlandstraße,TrKö,O,11 - 77,U,mittel  D
Hirtestraße,TrKö,O 30,- 35,F,mittel Z,,Hochmeisterplatz,ChWi,W,,K,gut Z
Hirtschulzstraße,MaHe,O,,K,mittel  D,,Hochsitzweg,StZe,W,,K,gut  D
Hirtsieferzeile,Neuk,W 1,- 4,F,mittel  D,,Hochspannungsweg,Neuk,W,,K,einfach  D
Hirtsieferzeile,Neuk,W 5,,F,mittel * D,,Hochstädter Straße,Mitt,W,,K,einfach Z
Hirtsieferzeile,Neuk,W 6,- 9,F,mittel  D,,Höchste Straße,FrKr,O,,K,mittel Z
Hirtsieferzeile,Neuk,W 10,,F,mittel * D,,Hochstraße,Mitt,W,1 - 11,F,einfach * Z
Hirtsieferzeile,Neuk,W 11,- 14,F,mittel  D,,Hochstraße,Mitt,W,11 A - 11 E,F,einfach Z
Hirtsieferzeile,Neuk,W 15,- 16,F,mittel * D,,Hochstraße,Mitt,W,11 F - 12 C,F,einfach * Z
Hirtsieferzeile,Neuk,W 17,- 20,F,mittel  D,,Hochstraße,Mitt,W,13,F,einfach Z
Hirtsieferzeile,Neuk,W 21,,F,mittel * D,,Hochstraße,Mitt,W,14 - 15,F,einfach * Z
Hirtsieferzeile,Neuk,W 22,- 25,F,mittel  D,,Hochstraße,Mitt,W,15 A,F,einfach Z
Hirtsieferzeile,Neuk,W 26,- 27,F,mittel * D,,Hochstraße,Mitt,W,15 B - 15 C,F,einfach * Z
Hirtsieferzeile,Neuk,W 28,- 32,F,mittel  D,,Hochstraße,Mitt,W,16 - 16 C,F,einfach Z
Hirtsieferzeile,Neuk,W 33,,F,mittel * D,,Hochstraße,Mitt,W,17 - 19,F,einfach * Z
Hirtsieferzeile,Neuk,W 34,- 36,F,mittel  D,,Hochstraße,Mitt,W,19 A,F,einfach Z
Hirtsieferzeile,Neuk,W 37,- 38,F,mittel * D,,Hochstraße,Mitt,W,20 - 21,F,einfach * Z
Hirtsieferzeile,Neuk,W 39,- 43,F,einfach  D,,Hochstraße,Mitt,W,22,F,einfach Z
Hirzbacher Weg,StZe,W,,K,mittel  D,,Hochstraße,Mitt,W,23 - 23 B,F,einfach * Z
Hirzerweg,TSch,W 2,- 80,G,einfach  D,,Hochstraße,Mitt,W,23 C - 26 A,F,einfach Z
Hirzerweg,TSch,W 7,- 109,U,einfach  D,,Hochstraße,Mitt,W,27 - 46,F,einfach * Z
Hirzerweg,TSch,W 82,- 154,G,mittel  D,,Hochstraße,StZe,W,,K,mittel  D
Hirzerweg,TSch,W 113,- 155,U,mittel  D,,Hochthronweg,Neuk,W,1 - 15,U,mittel  D
Hirzerweg,TSch,W 156,,G,mittel * D,,Hochthronweg,Neuk,W,2 - 8,G,einfach  D
Hirzerweg,TSch,W 157,,U,mittel * D,,Hochtristenweg,Neuk,W,1 - 23,U,einfach  D
Hittorfstraße,StZe,W 1,,U,gut * D,,Hochtristenweg,Neuk,W,2 - 14,G,mittel  D
Hittorfstraße,StZe,W 3,- 31,U,gut  D,,Hochwaldsteig,Span,W,,K,gut  D
Hittorfstraße,StZe,W 4,- 24,G,gut  D,,Hochwaldstraße,Lich,O,,K,mittel  D
Hitzigallee,Mitt,W,,K,gut Z,,Hochwieser Straße,MaHe,O,,K,einfach  D
Hobeckweg,MaHe,O,,K,einfach  D,,Hochwildpfad,StZe,W,,K,gut  D
Hobrechtsfelder Chaussee,Pank,O 22,,G,mittel * D,,Hocksteinweg,StZe,W,,K,mittel  D
Hobrechtsfelder Chaussee,Pank,O 96,,G,mittel  D,,Hödurstraße,Pank,O,1 - 3,U,mittel * D
Hobrechtsfelder Chaussee,Pank,O 98,,G,mittel * D,,Hödurstraße,Pank,O,5 - 55,U,mittel  D
Hobrechtsfelder Chaussee,Pank,O 100,- 210,G,mittel  D,,Hödurstraße,Pank,O,8 - 54,G,mittel  D
Hobrechtsfelder Chaussee,Pank,O 117,,U,mittel * D,,Hödurstraße,Pank,O,58,G,mittel * D
Hobrechtsfelder Chaussee,Pank,O 119,- 121,U,mittel  D,,Hoeftweg,TSch,W,1,U,mittel * D
Hobrechtsfelder Chaussee,Pank,O 123,- 505,U,mittel * D,,Hoeftweg,TSch,W,3 - 15,U,mittel  D
Hobrechtsfelder Chaussee,Pank,O 502,- 510,G,mittel * D,,Hoeftweg,TSch,W,4 - 14,G,mittel  D
Hobrechtstraße,Neuk,W 1,- 2,F,einfach * Z,,Hoenerweg,Lich,O,1 - 17,U,einfach Z
Hobrechtstraße,Neuk,W 3,- 8 A,F,einfach Z,,Hoenerweg,Lich,O,19 - 21,U,einfach * Z
Hobrechtstraße,Neuk,W 10,- 12,F,einfach * Z,,Hoeppnerstraße,TSch,W,1 - 93 A,U,mittel * Z
Hobrechtstraße,Neuk,W 13,- 71,F,einfach Z,,Hoeppnerstraße,TSch,W,2 - 16,G,mittel * Z
Hobrechtstraße,Neuk,W 72,- 76,F,einfach * Z,,Hoeppnerstraße,TSch,W,18 - 52,G,mittel Z
Hobrechtstraße,Neuk,W 78,- 83,F,einfach Z,,Hoeppnerstraße,TSch,W,54 - 58,G,mittel * Z
Hobrechtstraße,Neuk,W 84,,F,einfach * Z,,Hoeppnerstraße,TSch,W,60 - 106,G,mittel Z
Hochbaumstraße,StZe,W 1,- 63,U,mittel  D,,Hoeppnerstraße,TSch,W,93 B - 109,U,mittel Z
Hochbaumstraße,StZe,W 4,- 84,G,gut  D,,Hoeppnerstraße,TSch,W,111 - 115,U,mittel * Z
Hochbaumstraße,StZe,W 63 A,,U,mittel * D,,Hoeppnerstraße,TSch,W,117 - 131,U,mittel Z
Hochbaumstraße,StZe,W 65,- 85,U,gut  D,,Hoernlestraße,TrKö,O,1 - 3,U,mittel * Z
Hochbergplatz,StZe,W 6,,F,gut  D,,Hoernlestraße,TrKö,O,5 - 75,U,mittel Z
Hochbergplatz,StZe,W 7,,F,gut * D,,Hoernlestraße,TrKö,O,8 - 80,G,mittel Z
Hochbergweg,StZe,W 1,,U,gut * D,,Hoernlestraße,TrKö,O,77 - 79,U,mittel * Z
Hochbergweg,StZe,W 2,,G,gut  D,,Hoeschweg,TSch,W,,K,mittel  D
Hochbergweg,StZe,W 3,,U,gut  D,,Hoevelstraße,TrKö,O,2,G,mittel * D
Hochbergweg,StZe,W 9,,U,gut * D,,Hoevelstraße,TrKö,O,2 A - 26,G,mittel  D
Hochbergweg,StZe,W 14,,G,gut * D,,Hoevelstraße,TrKö,O,3,U,mittel * D
Hochbergweg,StZe,W 16,- 22,G,gut  D,,Hoevelstraße,TrKö,O,5 - 25,U,mittel  D
Hochbergweg,StZe,W 17,- 25,U,gut  D,,Hofackerzeile,ChWi,W,1 - 13 B,U,mittel  D
Hochfeilerweg,TSch,W,,K,mittel  D,,Hofackerzeile,ChWi,W,2 - 2 A,G,mittel  D
Hochgallweg,TSch,W,,K,mittel  D,,Hofackerzeile,ChWi,W,2 B,G,mittel * D
Hochhausweg,Span,W,,K,einfach  D,,Hofackerzeile,ChWi,W,4 - 6,G,mittel  D
Hochjagdstraße,Rein,W,,K,mittel  D,,Hofackerzeile,ChWi,W,8 - 14 B,G,mittel * D
Hochkalterweg,TSch,W,,K,mittel  D,,Hofackerzeile,ChWi,W,15 - 15 D,U,mittel * D
Hochkirchstraße,TSch,W 1,,F,einfach * Z,,Hoffbauerpfad,StZe,W,,K,mittel  D
Hochkirchstraße,TSch,W 2,- 21,F,einfach Z,,Hoffmannstraße,TrKö,O,,K,mittel  D
Hochkönigweg,Neuk,W 1,,U,einfach * D,,Hoffmann-von-Fallersleben-Pl.,ChWi,W,1 - 2,F,mittel * Z
Hochkönigweg,Neuk,W 2,,G,mittel * D,,Hoffmann-von-Fallersleben-Pl.,ChWi,W,3,F,mittel Z
Hochkönigweg,Neuk,W 2 A,- 64,G,mittel  D,,Hofheimer Straße,Lich,O,,K,mittel  D
Hochkönigweg,Neuk,W 3,- 19,U,einfach  D,,Hofjagdweg,Neuk,W,,K,einfach  D
Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7,,Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7
Hofjägerallee,Rein,W,,K,gut  D,,Hohenstaufenstraße,TSch,W 67,- 69,F,gut * Z
Hofzeichendamm,Pank,O,1,U,mittel * D,,Höhensteig,TrKö,O 1,- 9,U,einfach  D
Hofzeichendamm,Pank,O,3 - 67,U,mittel  D,,Höhensteig,TrKö,O 2,,G,mittel  D
Hofzeichendamm,Pank,O,34 - 42,G,mittel  D,,Hohensteinallee,ChWi,W,,K,gut  D
Hogenestweg,Neuk,W,,K,einfach  D,,Hohensteiner Straße,ChWi,W 1,,U,gut * D
Hohe Ähren,StZe,W,,K,gut  D,,Hohensteiner Straße,ChWi,W 2,- 16 A,G,gut  D
Hohefeldstraße,Rein,W,1,U,gut * D,,Hohensteiner Straße,ChWi,W 3,,U,gut  D
Hohefeldstraße,Rein,W,3 - 5,U,gut  D,,Hohensteiner Straße,ChWi,W 5,- 7,U,gut * D
Hohefeldstraße,Rein,W,4 - 68,G,gut  D,,Hohensteiner Straße,ChWi,W 9,- 15,U,gut  D
Hohefeldstraße,Rein,W,7,U,gut * D,,Hohentwielsteig,StZe,W 2,- 10,G,mittel  D
Hohefeldstraße,Rein,W,9 - 23,U,gut  D,,Hohentwielsteig,StZe,W 3,- 7,U,mittel  D
Hohefeldstraße,Rein,W,25 - 27,U,gut * D,,Hohentwielsteig,StZe,W 20,,G,gut  D
Hohefeldstraße,Rein,W,29 - 33,U,gut  D,,Hohentwielsteig,StZe,W 27,- 29,U,gut  D
Hohefeldstraße,Rein,W,35,U,gut * D,,Hohentwielsteig,StZe,W 30,,G,gut * D
Hohefeldstraße,Rein,W,37,U,gut  D,,Hohenwalder Straße,MaHe,O,,K,einfach  D
Hohefeldstraße,Rein,W,39,U,gut * D,,Höhenweg,Span,W,,K,mittel  D
Hohefeldstraße,Rein,W,41 - 53,U,gut  D,,Hohenzollerndamm,ChWi,W 2,- 31,F,gut * Z
Hohefeldstraße,Rein,W,53 A,U,gut * D,,Hohenzollerndamm,ChWi,W 32,- 48,F,mittel * Z
Hohefeldstraße,Rein,W,55,U,gut  D,,Hohenzollerndamm,ChWi,W 50,- 52,F,gut * D
Hohefeldstraße,Rein,W,55 A,U,gut * D,,Hohenzollerndamm,ChWi,W 52 A,,F,gut  D
Hohefeldstraße,Rein,W,57 - 61,U,gut  D,,Hohenzollerndamm,ChWi,W 53,- 152,F,gut * D
Hohefeldstraße,Rein,W,61 A,U,gut * D,,Hohenzollerndamm,ChWi,W 156,- 173,F,mittel * Z
Hohefeldstraße,Rein,W,63 - 65,U,gut  D,,Hohenzollerndamm,ChWi,W 174,- 198 A,F,gut * Z
Hohefeldstraße,Rein,W,65 A,U,gut * D,,Hohenzollerndamm,ChWi,W 199,- 201,F,gut Z
Hohefeldstraße,Rein,W,67 - 71,U,gut  D,,Hohenzollerndamm,ChWi,W 202,- 212,F,gut * Z
Hohefeldstraße,Rein,W,71 A,U,gut * D,,Hohenzollernplatz,ChWi,W,,K,gut * Z
Hohefeldstraße,Rein,W,73,U,gut  D,,Hohenzollernplatz,StZe,W,,K,gut * D
Hohenberger Steig,TrKö,O,,K,einfach  D,,Hohenzollernring,Span,W 12,- 18 C,F,mittel Z
Hohenbinder Steig,TrKö,O,,K,einfach  D,,Hohenzollernring,Span,W 33,- 40,F,einfach  D
Hohenbirker Weg,TrKö,O,2,G,mittel * D,,Hohenzollernring,Span,W 64,- 97,F,mittel * D
Hohenbirker Weg,TrKö,O,4 - 10,G,mittel  D,,Hohenzollernring,Span,W 97 A,- 97 E,F,mittel  D
Hohenbornweg,StZe,W,,K,mittel  D,,Hohenzollernring,Span,W 98,,F,mittel * D
Hohenfriedbergstraße,TSch,W,1,F,einfach * Z,,Hohenzollernring,Span,W 98 A,- 98 E,F,mittel  D
Hohenfriedbergstraße,TSch,W,2 - 12,F,einfach Z,,Hohenzollernring,Span,W 99,- 106,F,mittel * D
Hohenfriedbergstraße,TSch,W,13 - 14,F,einfach * Z,,Hohenzollernring,Span,W 109,- 116,F,mittel  D
Hohenfriedbergstraße,TSch,W,15 - 26,F,einfach Z,,Hohenzollernring,Span,W 117,- 120,F,mittel * D
Hohenfriedbergstraße,TSch,W,27,F,einfach * Z,,Hohenzollernring,Span,W 121,- 125,F,mittel  D
Hohengraper Weg,Lich,O,,K,mittel  D,,Hohenzollernring,Span,W 126,- 143,F,einfach  D
Hohenheimer Straße,Rein,W,,K,gut  D,,Hohenzollernring,Span,W 144,,F,einfach * D
Hohenkircher Allee,TrKö,O,,K,mittel  D,,Hohenzollernring,Span,W 145,- 161 F,F,einfach  D
Hohenloher Weg,Span,O,2 - 5,F,einfach  D,,Hohenzollernring,Span,W 162,- 173,F,mittel Z
Hohenloher Weg,Span,O,7,F,einfach * D,,Hohenzollernstraße,Rein,W,,K,gut  D
Hohenloher Weg,Span,O,9 - 15,F,einfach  D,,Hohenzollernstraße,TSch,W 1,- 7 A,F,mittel Z
Hohensaatener Straße,MaHe,O,,K,mittel  D,,Hohenzollernstraße,TSch,W 8,- 13,F,gut Z
Hohenschönhauser Straße,MaHe,O,8 - 8 A,G,einfach * D,,Hohenzollernstraße,TSch,W 14,- 15,F,mittel  D
Hohenschönhauser Straße,MaHe,O,10,G,einfach  D,,Hohenzollernstraße,TSch,W 16,- 17,F,gut Z
Hohenschönhauser Straße,MaHe,O,60,G,einfach * D,,Hohenzollernstraße,TSch,W 19,- 27,F,mittel Z
Hohenschönhauser Straße,Pank,O,80 - 80 B,F,einfach  D,,Hohenzollernstraße (Wanns),StZe,W 1,,F,gut * D
Hohenschönhauser Straße (Fenpf),Lich,O,1 - 29,F,einfach * Z,,Hohenzollernstraße (Wanns),StZe,W 1 B,- 28 A,F,gut  D
Hohenschönhauser Straße (Fenpf),Lich,O,66,F,einfach  D,,Hohenzollernstraße (Wanns),StZe,W 29,,F,gut * D
Hohenschönhauser Straße (Fenpf),Lich,O,67 - 73,F,einfach * D,,Hohenzollernstraße (Zehld),StZe,W,,K,gut Z
Hohenschönhauser Straße (Fenpf),Lich,O,74 - 77,F,einfach  D,,Hoher Steinweg,Span,W 1,- 2,F,einfach Z
Hohenschönhauser Straße (NHohs),Lich,O,5,U,mittel * D,,Hoher Steinweg,Span,W 3,- 4,F,einfach * Z
Hohenschönhauser Straße (NHohs),Lich,O,7,U,mittel  D,,Hoher Steinweg,Span,W 5,,F,einfach Z
Hohenschönhauser Straße (NHohs),Lich,O,31 - 51,U,einfach * D,,Hoher Steinweg,Span,W 6,- 7,F,einfach * Z
Hohenschönhauser Weg,Lich,O,1,U,einfach * D,,Hoher Wallgraben,Lich,O,,K,mittel  D
Hohenschönhauser Weg,Lich,O,3 - 9,U,einfach  D,,Hoher Weg,TrKö,O,,K,mittel  D
Hohenschönhauser Weg,Lich,O,6 - 58,G,einfach  D,,Hohler-Stein-Weg,Pank,O,,K,einfach  D
Hohenschönhauser Weg,Lich,O,60 - 62,G,einfach * D,,Hohmannstraße,ChWi,W,,K,gut  D
Hohenschönhauser Weg,Lich,O,64 - 74,G,einfach  D,,Höhmannstraße,ChWi,W,,K,gut  D
Hohenschönhauser Weg,Lich,O,76,G,einfach * D,,Höhndorfstraße,TSch,W 1,,U,mittel * Z
Hohenschönhauser Weg,Lich,O,78,G,einfach  D,,Höhndorfstraße,TSch,W 2,,G,mittel * Z
Hohenschönhauser Weg,Lich,O,80 - 138,G,einfach * D,,Höhndorfstraße,TSch,W 3,- 21,U,mittel Z
Hohenschönhauser Weg,Lich,O,140,G,einfach  D,,Höhndorfstraße,TSch,W 4,- 22,G,mittel Z
Hohenschönhauser Weg,Lich,O,142 - 150,G,einfach * D,,Hoiruper Straße,StZe,W 1,,F,gut * D
Hohenschönhauser Weg,Lich,O,152 - 164,G,einfach  D,,Hoiruper Straße,StZe,W 3,- 6,F,gut  D
Hohenschönhauser Weg,Lich,O,166 - 176,G,einfach * D,,Hoiruper Straße,StZe,W 6 A,- 8,F,gut * D
Hohenschönhauser Weg,Lich,O,178 - 202,G,einfach  D,,Hoiruper Straße,StZe,W 8 A,,F,gut  D
Hohenstaufenstraße,TSch,W,1,F,mittel Z,,Hoiruper Straße,StZe,W 9,- 14 F,F,gut * D
Hohenstaufenstraße,TSch,W,2 - 31,F,mittel * Z,,Holbeinstraße,MaHe,O 1,- 5,F,einfach  D
Hohenstaufenstraße,TSch,W,32 - 51 A,F,gut * Z,,Holbeinstraße,MaHe,O 6,- 24,F,mittel  D
Hohenstaufenstraße,TSch,W,51 B - 51 C,F,gut Z,,Holbeinstraße,StZe,W 1,- 12,F,gut  D
Hohenstaufenstraße,TSch,W,52 - 54,F,gut * Z,,Holbeinstraße,StZe,W 13,,F,gut * D
Hohenstaufenstraße,TSch,W,54 A - 66,F,mittel * Z,,Holbeinstraße,StZe,W 14,- 62,F,gut  D
Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7,,Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7
Holbeinstraße,StZe,W 63,,F,gut * D,,Holzhauser Straße,Rein,W,155,U,einfach  D
Holbeinstraße,StZe,W 63 A,- 70,F,gut  D,,Holzhauser Straße,Rein,W,156 - 160,G,einfach  D
Hölderlinstraße,ChWi,W,,K,gut Z,,Holzhauser Straße,Rein,W,157 - 177,U,einfach * D
Holenbrunner Weg,StZe,W 2,- 6,G,mittel * D,,Holzhauser Straße,Rein,W,160 A,G,einfach * D
Holenbrunner Weg,StZe,W 3,- 31,U,mittel  D,,Holzhauser Straße,Rein,W,162 B,G,einfach  D
Holenbrunner Weg,StZe,W 8,,G,mittel  D,,Holzhauser Straße,Rein,W,164 - 168,G,einfach * D
Holenbrunner Weg,StZe,W 8 A,- 8 C,G,mittel * D,,Holzhauser Straße,Rein,W,170,G,einfach  D
Holenbrunner Weg,StZe,W 10,- 30,G,mittel  D,,Holzhauser Straße,Rein,W,172 - 176,G,einfach * D
Hollabergweg,TSch,W 2,- 26,G,mittel  D,,Holzhauser Straße,Rein,W,178 - 180,G,einfach  D
Hollabergweg,TSch,W 3,- 27,U,mittel  D,,Holzhauser Straße,Rein,W,182,G,einfach * D
Hollabergweg,TSch,W 29,,U,mittel * D,,Holzkircher Straße,Pank,O,,K,mittel  D
Hollabergweg,TSch,W 31,,U,einfach * D,,Holzmannstraße,TSch,W,2,G,einfach * D
Hollabergweg,TSch,W 32,,G,einfach * D,,Holzmannstraße,TSch,W,4 - 34,G,einfach  D
Hollabergweg,TSch,W 33,- 91,U,einfach  D,,Holzmannstraße,TSch,W,7,U,einfach * D
Hollabergweg,TSch,W 34,- 92,G,einfach  D,,Holzmannstraße,TSch,W,19 - 37,U,einfach  D
Holländerstraße,Mitt,W 54,- 75 A,F,einfach * Z,,Holzmannstraße,TSch,W,36 - 38,G,einfach * D
Holländerstraße,Mitt,W 75 B,- 77 B,F,einfach Z,,Holzmannstraße,TSch,W,39,U,einfach * D
Holländerstraße,Mitt,W 80,- 90,F,mittel * Z,,Holzmarktstraße,FrKr,O,19 - 51,F,mittel * Z
Holländerstraße,Mitt,W 95,,F,einfach * Z,,Holzmarktstraße,Mitt,O,10 - 17,F,mittel * Z
Holländerstraße,Mitt,W 96,- 103,F,mittel * Z,,Holzmarktstraße,Mitt,O,52 - 54,F,mittel * Z
Holländerstraße,Mitt,W 104,- 107,F,einfach * Z,,Holzmarktstraße,Mitt,O,55,F,mittel Z
Holländerstraße,Mitt,W 107 A,- 107 B,F,einfach Z,,Holzmarktstraße,Mitt,O,56 - 75,F,mittel * Z
Holländerstraße,Mitt,W 108,,F,einfach * Z,,Holzmindener Straße,Neuk,W,1,U,einfach * D
Holländerstraße,Mitt,W 108 A,- 109,F,einfach Z,,Holzmindener Straße,Neuk,W,2,G,einfach * D
Holländerstraße,Mitt,W 110,- 112,F,einfach * Z,,Holzmindener Straße,Neuk,W,2 A - 28 B,G,einfach  D
Holländerstraße,Rein,W 2,- 34 A,F,einfach * Z,,Holzmindener Straße,Neuk,W,3 - 61,U,einfach  D
Holländerstraße,Rein,W 35,- 36 B,F,mittel * D,,Holzmindener Straße,Neuk,W,63 - 65,U,einfach * D
Holländerstraße,Rein,W 37,- 51,F,einfach * D,,Holzstraße,Mitt,W,,K,einfach  D
Holländerstraße,Rein,W 52,- 53,F,einfach * Z,,Holzungsweg,StZe,W,,K,gut  D
Holländerstraße,Rein,W 113,- 132,F,einfach * Z,,Holzweidepfad,Rein,W,,K,einfach  D
Höllentalweg,Rein,W,,K,einfach  D,,Homburger Straße,ChWi,W,1 - 53,U,gut  D
Hollstraße,TrKö,O,,K,mittel  D,,Homburger Straße,ChWi,W,2,G,gut * D
Holsteiner Ufer,Mitt,W 2,,G,gut * Z,,Homburger Straße,ChWi,W,4 - 52,G,gut  D
Holsteiner Ufer,Mitt,W 4,- 42,G,gut Z,,Homburgstraße,TSch,W,,K,mittel  D
Holsteiner Ufer,Mitt,W 44,,G,gut * Z,,Homeyerstraße,Pank,O,1 - 7,U,gut * Z
Holsteiner Ufer,Mitt,W 46,,G,gut Z,,Homeyerstraße,Pank,O,8 - 8 A,G,gut * D
Holsteinische Straße,ChWi,W 1,- 19,F,gut Z,,Homeyerstraße,Pank,O,9 - 23,U,gut Z
Holsteinische Straße,ChWi,W 19 A,,F,gut * Z,,Homeyerstraße,Pank,O,10 - 10 A,G,gut  D
Holsteinische Straße,ChWi,W 20,- 60,F,gut Z,,Homeyerstraße,Pank,O,10 B,G,gut * D
Holsteinische Straße,StZe,W 1,- 12 A,F,mittel Z,,Homeyerstraße,Pank,O,12 - 36,G,gut  D
Holsteinische Straße,StZe,W 14,,F,mittel * Z,,Homeyerstraße,Pank,O,29 - 37,U,gut  D
Holsteinische Straße,StZe,W 15,,F,gut * Z,,Homeyerstraße,Pank,O,38 - 40,G,gut * D
Holsteinische Straße,StZe,W 16,- 29,F,gut Z,,Homeyerstraße,Pank,O,39,U,gut * D
Holsteinische Straße,StZe,W 44,- 46,F,gut Z,,Homuthstraße,TSch,W,1,F,gut * Z
Holsteinische Straße,StZe,W 47,- 48,F,gut * Z,,Homuthstraße,TSch,W,2 - 8,F,gut Z
Holsteinische Straße,StZe,W 49,- 64,F,gut Z,,Homuthstraße,TSch,W,9,F,gut * Z
Holsteinische Straße,TSch,W 30,- 43,F,gut Z,,Honnefer Straße,Lich,O,,K,gut  D
Holstweg,StZe,W,,K,gut  D,,Hönower Straße,Lich,O,1,F,gut * D
Holteistraße,FrKr,O 2,- 5,F,gut Z,,Hönower Straße,Lich,O,3 - 42,F,gut  D
Holteistraße,FrKr,O 6,,F,mittel Z,,Hönower Straße,Lich,O,43,F,gut * D
Holteistraße,FrKr,O 10,- 20,F,mittel * Z,,Hönower Straße,Lich,O,44 - 53,F,gut  D
Holteistraße,FrKr,O 20 A,,F,mittel Z,,Hönower Straße,Lich,O,54 - 56,F,gut * D
Holteistraße,FrKr,O 22,- 26,F,mittel * Z,,Hönower Straße,MaHe,O,6 - 76,G,mittel * D
Holteistraße,FrKr,O 28,- 33,F,mittel Z,,Hönower Straße,MaHe,O,9 - 19,U,mittel * D
Holtheimer Weg,StZe,W 1,,U,einfach * D,,Hönower Straße,MaHe,O,19 A,U,mittel  D
Holtheimer Weg,StZe,W 1 A,,U,einfach  D,,Hönower Straße,MaHe,O,21 - 23,U,mittel * D
Holtheimer Weg,StZe,W 1 B,- 1 D,U,einfach * D,,Hönower Straße,MaHe,O,23 A,U,mittel  D
Holtheimer Weg,StZe,W 3,- 45,U,einfach  D,,Hönower Straße,MaHe,O,25 A - 29,U,mittel * D
Holtheimer Weg,StZe,W 6,- 38,G,einfach  D,,Hönower Straße,MaHe,O,29 A,U,mittel  D
Holtzendorffstraße,ChWi,W 1,- 14,F,gut * Z,,Hönower Straße,MaHe,O,31 - 37,U,mittel * D
Holtzendorffstraße,ChWi,W 15,,F,gut Z,,Hönower Straße,MaHe,O,39,U,mittel  D
Holtzendorffstraße,ChWi,W 16,- 17,F,gut * Z,,Hönower Straße,MaHe,O,41 - 49,U,mittel * D
Holtzendorffstraße,ChWi,W 18,,F,gut Z,,Hönower Straße,MaHe,O,49 A,U,mittel  D
Holtzendorffstraße,ChWi,W 19,- 20,F,gut * Z,,Hönower Straße,MaHe,O,51 - 53,U,mittel * D
