Konrad-Wolf-Straße,Lich O 66,- 145,F,mittel,Kornaue,StZe W,,K,gut
Konrad-Zuse-Straße,TrKö O,,K,mittel,Kornblumenring,Neuk W,,K,mittel
Konstanzer Straße,ChWi W 1,- 12,F,gut,Kornburger Weg,Span W,,K,mittel
Konstanzer Straße,ChWi W 12 A,- 46,F,mittel,Körnerstraße,Mitt W,,K,mittel
Konstanzer Straße,ChWi W 49,- 65,F,gut,Körnerstraße,Pank O,,K,mittel
Konzer Platz,Rein W,,K,gut,Körnerstraße,Span W,,K,einfach
Kopenhagener Straße,Rein W 1,- 75,U,einfach,Körnerstraße,StZe W,1 - 7,F,gut
Kopenhagener Straße,Rein W 2,- 74 A,G,einfach,Körnerstraße,StZe W,11 - 53,F,mittel
Kopenhagener Straße,Rein W 76,,G,mittel,Körnerstraße,StZe W,54 - 59,F,gut
Kopenhagener Straße (Prenz),Pank O,,K,gut,Kornmandelweg,MaHe O,,K,mittel
Kopenhagener Straße (Wilhe),Pank O,,K,mittel,Kornmesserstraße,StZe W,1 - 15,F,mittel
Köpenicker Allee,Lich O 1,- 259,U,mittel,Kornmesserstraße,StZe W,16 - 20,F,gut
Köpenicker Allee,Lich O 10,- 34,G,mittel,Kornradenstraße,Neuk W,,K,mittel
Köpenicker Allee,Lich O 36,- 44,G,gut,Kornweg,Rein W,,K,mittel
Köpenicker Allee,Lich O 46,- 254,G,mittel,Korsikazeisigweg,Pank O,,K,mittel
Köpenicker Chaussee,Lich O 1,- 10,F,mittel,Korsörer Straße,Pank O,,K,gut
Köpenicker Chaussee,Lich O 11,- 45,F,einfach,Körtestraße,FrKr W,,K,mittel
Köpenicker Chaussee,Lich O 46,- 49,F,mittel,Körtingstraße,TSch W,,K,einfach
Köpenicker Landstraße,TrKö O 1,- 67,U,einfach,Koschatweg,TrKö O,,K,mittel
Köpenicker Landstraße,TrKö O 2,- 296,G,mittel,Kösener Straße,ChWi W,,K,gut
Köpenicker Landstraße,TrKö O 77,- 297,U,mittel,Koserower Straße,MaHe O,,K,mittel
Köpenicker Straße,FrKr W,,K,einfach,Koserstraße,StZe W,2 - 16,G,gut
Köpenicker Straße,MaHe O,,K,mittel,Koserstraße,StZe W,17 - 27,U,gut
Köpenicker Straße,Mitt O 30,- 76,F,mittel,Koserstraße,StZe W,20,G,mittel
Köpenicker Straße,Mitt O 77,- 114,F,gut,Kosleckweg,TSch W,,K,mittel
Köpenicker Straße,Mitt O 121,- 141,F,mittel,Kösliner Straße,Mitt W,,K,einfach
Köpenicker Straße,Neuk W 26,- 80 A,G,einfach,Kossätenstraße,Rein W,,K,einfach
Köpenicker Straße,Neuk W 31,- 131,U,einfach,Kösterstraße,StZe W,,K,mittel
Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Köthener Straße,FrKr W 28,- 33,F,einfach,Kreuztaler Weg,Rein W,,K,mittel
Köthener Straße,FrKr W 35,- 44,F,gut,Krielower Weg,Span W,2 - 24 C,G,mittel
Köthener Straße,MaHe O,,K,einfach,Krielower Weg,Span W,3 - 5,U,mittel
Köthener Straße,Mitt W,,K,gut,Krielower Weg,Span W,11 - 25,U,gut
Kottbusser Damm,FrKr W,,K,mittel,Krielower Weg,Span W,26,G,gut
Kottbusser Damm,Neuk W 62,- 77,F,mittel,Krielower Weg,Span W,28,G,mittel
Kottbusser Damm,Neuk W 78,- 103 A,F,einfach,Kriemhildstraße,Lich O,,K,mittel
Kottbusser Damm,Neuk W 104,,F,mittel,Krienickesteig,Span W,,K,einfach
Kottbusser Straße,FrKr W,,K,einfach,Krimnitzer Weg,TrKö O,,K,einfach
Kötteritzweg,MaHe O,,K,mittel,Krischanweg,Neuk W,,K,einfach
Kottesteig,StZe W,,K,mittel,Krohnweg,Span W,1 - 11 C,U,gut
Köttgenstraße,Span W,,K,mittel,Krohnweg,Span W,2 - 4 P,G,gut
Kottmeierstraße,TrKö O,,K,mittel,Krohnweg,Span W,6 - 10 E,G,mittel
Kötztinger Straße,Lich O,,K,mittel,Krokusstraße,Neuk W,,K,mittel
Kraatzweg,TSch W,,K,mittel,Kronacher Straße,TSch W,,K,mittel
Krabbentaucherweg,Neuk W,,K,mittel,Kronberger Straße,ChWi W,,K,gut
Krachtstraße,FrKr O,,K,gut,Kronbergstraße,TSch W,,K,mittel
Kraepelinweg,Span W,,K,einfach,Kronenstraße,Mitt O,,K,gut
Kraetkestraße,Lich O,,K,mittel,Kronprinzendamm,ChWi W,,K,mittel
Kraetkestraße,MaHe O,,K,mittel,Kronprinzenstraße,Span W,,K,mittel
Krähenfußzeile,Pank O,,K,mittel,Kronprinzessinnenweg,StZe W,,K,gut
Krähenhorst,TrKö O,,K,einfach,Kronstadter Weg,TSch W,,K,einfach
Krähenwinkel,Lich O,,K,mittel,Krontaler Straße,Pank O,,K,mittel
Krahmerstraße,StZe W 1,- 15,U,mittel,Krontalstraße,TSch W,,K,mittel
Krahmerstraße,StZe W 2,- 10,G,mittel,Kröpeliner Straße,Lich O,,K,mittel
Krahmerstraße,StZe W 14,- 16,G,gut,Kroppenstedtweg,Span W,,K,einfach
Krämerweg,Span W,,K,mittel,Krossener Straße,FrKr O,,K,gut
Krampasplatz,ChWi W,,K,gut,Krötengasse,TrKö O,,K,einfach
Krampenburg,TrKö O,,K,einfach,Krottnaurerstraße,StZe W,,K,gut
Krampenburger Weg,TrKö O 1,- 81,U,mittel,Kröver Straße,MaHe O,,K,einfach
Krampenburger Weg,TrKö O 2,- 18,G,mittel,Krowelstraße,Span W,,K,einfach
Krampenburger Weg,TrKö O 24,- 44,G,einfach,Kruckenbergstraße,TSch W,,K,einfach
Krampenburger Weg,TrKö O 50,- 80,G,mittel,Krugauer Steig,TrKö O,,K,mittel
Krampnitzer Weg,Span W,,K,gut,Krügerstraße,Pank O,,K,gut
Kramstaweg,StZe W,,K,mittel,Krügerstraße,TSch W,1 - 18,F,mittel
Krangener Weg,Rein W,,K,einfach,Krügerstraße,TSch W,19 - 26,F,gut
Kranichstraße,TrKö O,,K,einfach,Krügerstraße,TSch W,27 - 36,F,mittel
Kranoldplatz,Neuk W,,K,einfach,Krugstege,Pank O,,K,mittel
Kranoldplatz,StZe W,,K,mittel,Krüllsstraße,TrKö O,1 - 11,U,mittel
Kranoldstraße,MaHe O,,K,mittel,Krüllsstraße,TrKö O,2 - 22,G,mittel
Kranoldstraße,Neuk W,,K,einfach,Krüllsstraße,TrKö O,15 - 21,U,gut
Krantorweg,Rein W,,K,mittel,Krumme Gärten,Span W,,K,einfach
Kranzallee,ChWi W,,K,gut,Krumme Straße,ChWi W,1 - 20,F,mittel
Kranzer Straße,ChWi W,,K,gut,Krumme Straße,ChWi W,25 - 36,F,gut
Krausenstraße,Mitt O,,K,gut,Krumme Straße,ChWi W,38 - 49,F,mittel
Krausnickstraße,Mitt O,,K,gut,Krumme Straße,ChWi W,50 - 65,F,gut
Kräuterplatz,Pank O,,K,einfach,Krumme Straße,ChWi W,68 - 93,F,mittel
Kräuterweg,Pank O,,K,einfach,Krumme Straße,StZe W,,K,mittel
Krautstraße,FrKr O,,K,mittel,Krumme Straße,TrKö O,1 - 5,U,einfach
Krefelder Straße,Mitt W 1,- 11 A,F,mittel,Krumme Straße,TrKö O,4 - 24,G,mittel
Krefelder Straße,Mitt W 12,- 22,F,gut,Krumme Straße,TrKö O,7 - 25,U,mittel
Kreideweg,Neuk W 2,- 42,G,mittel,Krummenseer Straße,MaHe O,,K,mittel
Kreideweg,Neuk W 15,- 25 L,U,einfach,Krummhübler Straße,Lich O,,K,mittel
Kreisauer Straße,TSch W,,K,gut,Krumminer Weg,Rein W,,K,mittel
Kremmener Straße,Mitt O,,K,gut,Krumpuhler Weg,Rein W,,K,mittel
Kremnitzufer,StZe W,,K,gut,Kruppstraße,Mitt W,,K,einfach
Kreppfuhlweg,MaHe O,,K,mittel,Krusauer Straße,TSch W,1 - 37 A,U,mittel
Kressenweg,MaHe O,,K,mittel,Krusauer Straße,TSch W,6 - 38,G,mittel
Kretzerzeile,Span W,,K,einfach,Krusauer Straße,TSch W,39 - 61,U,einfach
Kreutzerweg,StZe W,,K,mittel,Krusauer Straße,TSch W,40 - 62 A,G,einfach
Kreutzigerstraße,FrKr O,,K,gut,Krusauer Straße,TSch W,63 - 131,U,mittel
Kreutzwaldstraße,Span W,,K,gut,Krusauer Straße,TSch W,64 - 128,G,mittel
Kreuzbergstraße,FrKr W,,K,mittel,Kruseweg,TSch W,,K,einfach
Kreuzbergstraße,TSch W,,K,mittel,Kubornstraße,Lich O,,K,mittel
Kreuzburger Straße,Pank O,,K,mittel,Kucharskistraße,ChWi W,,K,einfach
Kreuzgraben,Pank O,,K,mittel,Kückenweg,Neuk W,,K,einfach
Kreuznacher Straße,ChWi W,,K,gut,Kuckhoffstraße,Pank O,1 - 67,U,gut
Kreuznacher Straße,StZe W,,K,gut,Kuckhoffstraße,Pank O,2 - 54 A,G,gut
Kreuznacher Straße,TSch W,,K,gut,Kuckhoffstraße,Pank O,56 - 128,G,mittel
Kreuzritterstraße,Rein W,,K,gut,Kuckhoffstraße,Pank O,69 - 135,U,mittel
Kreuzschnabelstraße,MaHe O,,K,mittel,Kuckuckssteig,TrKö O,,K,einfach
Kreuzsteg,Pank O,,K,mittel,Kuckuckstraße,Span W,,K,mittel
Kreuzstraße,Mitt O,,K,gut,Kuckucksweg,StZe W,,K,gut
Kreuzstraße,Pank O,,K,mittel,Kudowastraße,ChWi W,,K,gut
Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Küfersteig,Span W,,K,mittel,Kurt-Schumacher-Damm,Rein W,,K,einfach
Kufsteiner Straße,ChWi W,2 - 20,G,gut,Kurt-Weill-Gasse,MaHe O,,K,mittel
Kufsteiner Straße,ChWi W,22 - 86,G,mittel,Kurze Straße,Lich O,,K,mittel
Kufsteiner Straße,TSch W,1 - 19,U,gut,Kurze Straße,Rein W,,K,gut
Kufsteiner Straße,TSch W,21 - 79,U,mittel,Kurze Straße,Span W,,K,einfach
Kuglerstraße,Pank O,1 - 29,U,mittel,Kurze Straße,StZe W,,K,mittel
Kuglerstraße,Pank O,2 - 28,G,mittel,Kurze Straße (Panko),Pank O,,K,mittel
Kuglerstraße,Pank O,31 - 33,U,gut,Kurze Straße (Wilhe),Pank O,,K,mittel
Kuglerstraße,Pank O,32 - 40,G,gut,Kurzebracker Weg,Rein W,,K,mittel
Kuglerstraße,Pank O,44 - 72,G,mittel,Kurze-Enden-Weg,Pank O,,K,mittel
Kuglerstraße,Pank O,45 - 65,U,mittel,Kurzer Steig,TrKö O,,K,mittel
Kuglerstraße,Pank O,69 - 99,U,gut,Küselstraße,Pank O,,K,mittel
Kuglerstraße,Pank O,76 - 100,G,gut,Küsterstraße,Span W,,K,einfach
Kühlebornweg,StZe W,,K,mittel,Küstriner Straße,Lich O,,K,mittel
Kühler Weg,ChWi W,,K,mittel,Küstriner Straße,TSch W,,K,mittel
Kühleweinstraße,Rein W,,K,einfach,Küterstraße,TSch W,,K,mittel
Kuhligkshofstraße,StZe W,,K,mittel,Kyffhäuserstraße,TSch W,,K,gut
Kühlungsborner Straße,Lich O,,K,einfach,Kyllburger Weg,Lich O,,K,einfach
Kuhnaustraße,MaHe O,,K,gut,Kyllmannstraße (Lifel),StZe W,,K,gut
Kühnemannstraße,Mitt W,,K,einfach,Kyllmannstraße (Wanns),StZe W,,K,gut
Kühnemannstraße,Rein W,,K,einfach,Kynaststraße,FrKr O,,K,mittel
Kuhnertstraße,Span W,,K,einfach,Kyritzer Straße,MaHe O,,K,einfach
Kulbeweg,Span W,,K,mittel,Kyritzer Weg,StZe W,,K,mittel
Küllstedter Straße,Lich O,,K,mittel,,,,,
Kulmbacher Straße,ChWi W,,K,gut,L,,,,
Kulmer Straße,TSch W,1 - 8,F,einfach,La Famille-Straße,Pank O,,K,mittel
Kulmer Straße,TSch W,11 - 34,F,mittel,Labeser Weg,Rein W,,K,mittel
Kulmer Straße,TSch W,37,F,einfach,Labkrautweg,Lich O,,K,einfach
Kulmseestraße,MaHe O,,K,mittel,Laböer Straße,Mitt W,,K,einfach
Külzer Straße,StZe W,,K,mittel,Lachmannstraße,FrKr W,,K,mittel
Kumberger Weg,MaHe O,,K,gut,Lachsfang,TrKö O,,K,einfach
Kümmelweg,Pank O,,K,einfach,Lachshuhnweg,Neuk W,1 - 31,U,mittel
Kummerower Ring,MaHe O,,K,mittel,Lachshuhnweg,Neuk W,4 - 32,G,einfach
Kundrystraße,TSch W,,K,gut,Lachtaubenweg,Rein W,,K,mittel
Kundtanger,Lich O,,K,einfach,Lacknerstraße,StZe W,,K,mittel
Künheimer Weg,Neuk W,,K,einfach,Ladeburger Weg,Rein W,,K,einfach
Kunibertstraße,TrKö O,,K,einfach,Ladenbergstraße,StZe W,,K,gut
Kunigundenstraße,TSch W,,K,mittel,Ladenstraße,StZe W,,K,gut
Kunkelstraße,Mitt W,,K,einfach,Ladiusstraße,StZe W,,K,mittel
Künnekeweg,Neuk W,,K,einfach,Laehr‘scher Jagdweg,StZe W,,K,mittel
Kuno-Fischer-Straße,ChWi W,,K,gut,Laehrstraße,StZe W,,K,gut
Künstlerweg,Span W,,K,mittel,Lagerweg,Span W,,K,einfach
Kunz-Buntschuh-Straße,ChWi W,,K,gut,Lagunenweg,TrKö O,,K,einfach
Künzelsauer Weg,Span O,,K,einfach,Lahmertstraße,TrKö O,,K,mittel
Kunzendorfstraße,StZe W,,K,gut,Lahnsteiner Straße,Lich O,,K,gut
Kunzeweg,Lich O,,K,mittel,Lahnstraße,Neuk W,,K,einfach
Kürbissteig,Pank O,,K,einfach,Lahrer Pfad,Rein W,,K,mittel
Kürenzer Straße,MaHe O,,K,einfach,Lakenfelderweg,Neuk W,,K,mittel
Kurfürstendamm,ChWi W,11 - 115 B,F,gut,Lambertstraße,ChWi W,,K,mittel
Kurfürstendamm,ChWi W,115 C - 129 A,F,mittel,Lammersdorfer Weg,MaHe O,,K,mittel
Kurfürstendamm,ChWi W,129 B - 237,F,gut,Lampertssteinweg,Pank O,,K,einfach
Kurfürstenstraße,Mitt W,1 - 28,F,mittel,Lampesteig,Rein W,,K,einfach
Kurfürstenstraße,Mitt W,29 - 46,F,einfach,Landapfelweg,Pank O,,K,einfach
Kurfürstenstraße,Mitt W,48 - 84,F,mittel,Landauer Straße,ChWi W,,K,gut
Kurfürstenstraße,Mitt W,87 - 88,F,gut,Landecker Straße,ChWi W,,K,gut
Kurfürstenstraße,Rein W,,K,mittel,Landenhäuser Weg,Rein W,,K,einfach
Kurfürstenstraße,StZe W,,K,mittel,Länderallee,ChWi W,,K,gut
Kurfürstenstraße (Mardf),TSch W,,K,mittel,Landfliegerstraße,TrKö O,,K,mittel
Kurfürstenstraße (Schön),TSch W,101 - 104,F,gut,Landgartenweg,TrKö O,,K,mittel
Kurfürstenstraße (Schön),TSch W,106 - 130,F,mittel,Landgrafenstraße,Mitt W,,K,mittel
Kurfürstenstraße (Schön),TSch W,131 - 174,F,einfach,Landhausring,MaHe O,,K,mittel
Kurhausstraße,Rein W,,K,gut,Landhausstraße,ChWi W,,K,gut
Kürißweg,TrKö O,,K,mittel,Landhausweg,Neuk W,,K,mittel
Kurländer Allee,ChWi W,,K,gut,Landjägerstraße,TrKö O,,K,mittel
Kurmärkische Straße,TSch W,,K,einfach,Landoltweg,StZe W,,K,gut
Kurpromenade,Span W,2 - 9,F,mittel,Landreiterweg,Neuk W,,K,einfach
Kurpromenade,Span W,10 - 66,F,gut,Landréstraße,MaHe O,,K,mittel
Kurpromenade,Span W,67 - 80,F,mittel,Landsberger Allee,FrKr O,,K,mittel
Kurstraße,Mitt O,,K,gut,Landsberger Allee,Lich O,106,F,einfach
Kurstraße,Span W,,K,einfach,Landsberger Allee,Lich O,116 - 126,F,mittel
Kurstraße,StZe W,,K,gut,Landsberger Allee,Lich O,130 - 216,F,einfach
Kurt-Exner-Straße,Pank O,,K,mittel,Landsberger Allee,Lich O,217 - 217 K,F,mittel
Kurt-Marzahn-Straße,Span W,,K,mittel,Landsberger Allee,Lich O,218,F,einfach
Kurt-Schumacher-Damm,Mitt W,,K,einfach,Landsberger Allee,Lich O,219 - 219 D,F,mittel
Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Landsberger Allee,Lich O 220,,F,einfach,Langkofelweg,StZe W,1 - 29,U,mittel
Landsberger Allee,Lich O 221,,F,mittel,Langkofelweg,StZe W,2 - 28,G,gut
Landsberger Allee,Lich O 222,,F,einfach,Langobardenallee,ChWi W,,K,gut
Landsberger Allee,Lich O 223,,F,mittel,Langohrzeile,Rein W,,K,gut
Landsberger Allee,Lich O 224,,F,einfach,Langschanweg,Neuk W,,K,mittel
Landsberger Allee,Lich O 225,- 225 A,F,mittel,Lanker Straße,Pank O,,K,mittel
Landsberger Allee,Lich O 226,,F,einfach,Lankestrand,Span W,,K,mittel
Landsberger Allee,Lich O 227,,F,mittel,Lankwitzer Straße,StZe W,,K,mittel
Landsberger Allee,Lich O 228,- 228 D,F,einfach,Lankwitzer Straße,TSch W,,K,einfach
Landsberger Allee,Lich O 229,,F,mittel,Lansstraße,StZe W,2 - 4,G,mittel
Landsberger Allee,Lich O 230,,F,einfach,Lansstraße,StZe W,5 - 15,U,gut
Landsberger Allee,Lich O 231,- 253,F,mittel,Lansstraße,StZe W,8 - 12,G,gut
Landsberger Allee,Lich O 254,,F,einfach,Lanzelotstraße,Pank O,,K,mittel
Landsberger Allee,Lich O 255,- 265,F,mittel,Lanzendorfer Weg,Span W,,K,gut
Landsberger Allee,Lich O 266,,F,einfach,Lappiner Straße,MaHe O,,K,mittel
Landsberger Allee,Lich O 267,,F,mittel,Laraweg,MaHe O,,K,mittel
Landsberger Allee,Lich O 268,,F,einfach,Lärchenweg,ChWi W,,K,mittel
Landsberger Allee,Lich O 269,,F,mittel,La-Rochelle-Straße,Pank O,,K,mittel
Landsberger Allee,Lich O 270,,F,einfach,Lasdehner Straße,FrKr O,,K,gut
Landsberger Allee,Lich O 271,,F,mittel,Lasensteinweg,Pank O,,K,einfach
Landsberger Allee,Lich O 272,,F,einfach,Lasiuszeile,Span W,,K,einfach
Landsberger Allee,Lich O 273,- 275,F,mittel,Laskerstraße,FrKr O,,K,mittel
Landsberger Allee,Lich O 276,,F,einfach,Lassallestraße,MaHe O,,K,mittel
Landsberger Allee,Lich O 277,- 295,F,mittel,Lassallestraße,TrKö O,,K,einfach
Landsberger Allee,Lich O 296,,F,einfach,Lassaner Straße,MaHe O,,K,mittel
Landsberger Allee,Lich O 297,- 299,F,mittel,Lassenstraße,ChWi W,,K,gut
Landsberger Allee,Lich O 300,,F,einfach,Lattichweg,MaHe O,,K,einfach
Landsberger Allee,Lich O 301,- 319,F,mittel,Laubacher Straße,ChWi W,,K,gut
Landsberger Allee,Lich O 320,,F,einfach,Laubacher Straße,TSch W,,K,gut
Landsberger Allee,Lich O 321,- 359,F,mittel,Laubenheimer Straße,ChWi W,,K,gut
Landsberger Allee,Lich O 360,,F,einfach,Lauberhornweg,TSch W,,K,mittel
Landsberger Allee,Lich O 361,,F,mittel,Laubestraße,Neuk W,,K,einfach
Landsberger Allee,Lich O 362,,F,einfach,Laubnitzer Pfad,TrKö O,,K,mittel
Landsberger Allee,Lich O 363,,F,mittel,Laubsängerweg,Neuk W,,K,einfach
Landsberger Allee,Lich O 364,,F,einfach,Lauchhammerstraße,MaHe O,,K,mittel
Landsberger Allee,Lich O 365,- 367,F,mittel,Lauchstädter Weg,Neuk W,,K,mittel
Landsberger Allee,MaHe O 366,- 378 B,F,mittel,Laudaer Straße,Pank O,,K,mittel
Landsberger Allee,MaHe O 390,- 400,F,einfach,Lauenburger Platz,StZe W,,K,mittel
Landsberger Allee,MaHe O 445,- 491,F,mittel,Lauenburger Straße,StZe W,2 - 80,G,mittel
Landsberger Allee,MaHe O 491 B,- 525,F,einfach,Lauenburger Straße,StZe W,3 - 85,U,mittel
Landsberger Allee,MaHe O 526,,F,mittel,Lauenburger Straße,StZe W,82 - 118,G,gut
Landsberger Allee,MaHe O 527,- 529,F,einfach,Lauenburger Straße,StZe W,99 - 111,U,gut
Landsberger Allee,MaHe O 530,,F,mittel,Lauenburger Straße,StZe W,115 - 119,U,mittel
Landsberger Allee,MaHe O 531,- 533,F,einfach,Lauffener Straße,TrKö O,,K,mittel
Landsberger Allee,MaHe O 534,,F,mittel,Lauinger Straße,MaHe O,,K,mittel
Landsberger Allee,MaHe O 535,- 576,F,einfach,Laurenzstraße,TrKö O,,K,mittel
Landsberger Allee,Pank O 79,- 104 D,F,mittel,Laurinsteig,Rein W,,K,gut
Landsberger Allee,Pank O 117,- 127,F,einfach,Lausanner Straße,StZe W,,K,mittel
Landsberger Straße,MaHe O,,K,mittel,Lausitzer Platz,FrKr W,,K,einfach
Landsberger Straße,TSch W,,K,mittel,Lausitzer Straße,FrKr W,,K,einfach
Landshuter Straße (Lirad),TSch W,,K,mittel,Lautentaler Straße,Pank O,,K,mittel
Landshuter Straße (Schön),TSch W,,K,gut,Lauterbacher Weg,Span W,,K,mittel
Landvogtstraße,MaHe O,,K,mittel,Lauterbachstraße,Pank O,,K,mittel
Landweg,StZe W,,K,mittel,Lauterberger Straße,Neuk W,,K,einfach
Lange Enden,Rein W,,K,mittel,Lauterplatz,TSch W,,K,gut
Lange Straße,FrKr O 14,- 27,F,mittel,Lauterstraße,TSch W,,K,gut
Lange Straße,FrKr O 30,- 60,F,gut,Lauxweg,TSch W,,K,einfach
Lange Straße,FrKr O 74,- 86,F,mittel,Lavendelweg,MaHe O,,K,mittel
Lange Straße,StZe W,,K,mittel,Lazarusstraße,Span W,,K,einfach
Lange Stücken,StZe W,,K,gut,Le Bonheur-Straße,Pank O,,K,mittel
Langenauer Weg,Rein W,,K,mittel,Le Pavillon-Straße,Pank O,,K,mittel
Langenbeckstraße,FrKr O,,K,mittel,Lea-Grundig-Straße,MaHe O,2 - 34,G,mittel
Langenbeckstraße,MaHe O 1,- 1 C,F,mittel,Lea-Grundig-Straße,MaHe O,36 - 76,G,einfach
Langenbeckstraße,MaHe O 2,- 29,F,gut,Lea-Grundig-Straße,MaHe O,45 - 83,U,einfach
Langensalzaer Straße,StZe W,,K,mittel,Lebensbaumweg,Pank O,,K,mittel
Langenscheidtstraße,TSch W,,K,mittel,Leberblumenweg,TrKö O,,K,mittel
Langensteiner Weg,StZe W,,K,mittel,Leberstraße,TSch W,,K,mittel
Langer Weg,MaHe O,,K,mittel,Lebuser Straße,FrKr O,,K,mittel
Langerhansstraße,TrKö O,,K,mittel,Lechtaler Weg,StZe W,,K,mittel
Langer-See-Straße,Span W,,K,einfach,Ledebourstraße,MaHe O,1 - 33,U,mittel
Langewahler Weg,TrKö O,,K,einfach,Ledebourstraße,MaHe O,2 - 64,G,mittel
Langfuhrer Allee,TrKö O,,K,einfach,Ledebourstraße,MaHe O,37 - 105,U,gut
Langhansstraße,Pank O,,K,mittel,Ledebourstraße,MaHe O,68 - 106,G,gut
Langhoffstraße,MaHe O,,K,mittel,Leester Weg,StZe W,,K,mittel
Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Lefèvrestraße,TSch W,,K,gut,Lesser-Ury-Weg,Mitt W,,K,einfach
Leghornweg,Neuk W,,K,mittel,Lessingstraße,MaHe O,2 - 25,F,gut
Legiendamm,FrKr W,,K,einfach,Lessingstraße,MaHe O,25 A - 30,F,mittel
Legiendamm,Mitt O,,K,mittel,Lessingstraße,MaHe O,30 D - 44,F,gut
Lehderstraße,Pank O,,K,mittel,Lessingstraße,Mitt W,,K,gut
Lehmbruckstraße,FrKr O,,K,mittel,Lessingstraße,Pank O,,K,mittel
Lehmfeldsteig,TrKö O,,K,einfach,Lessingstraße,StZe W,1 - 2,F,mittel
Lehmusstraße,TrKö O,,K,einfach,Lessingstraße,StZe W,3 - 13,F,gut
Lehmweg,Pank O,,K,einfach,Lessingstraße,TrKö O,,K,einfach
Lehndorffstraße,Lich O,,K,gut,Lessingstraße,TSch W,1 - 23 C,F,mittel
Lehnestraße,MaHe O,,K,mittel,Lessingstraße,TSch W,24 - 29,F,einfach
Lehniner Platz,ChWi W,,K,gut,Lessingstraße,TSch W,31 - 51,F,mittel
Lehnitzstraße,MaHe O 1,- 221,U,gut,Letmather Weg,Rein W,,K,mittel
Lehnitzstraße,MaHe O 2,- 8,G,mittel,Letschiner Weg,Rein W,,K,einfach
Lehnitzstraße,MaHe O 12,- 220,G,gut,Lettberger Straße,Neuk W,,K,einfach
Lehrter Straße,Mitt W,,K,einfach,Letteallee,Rein W,,K,einfach
Leiblstraße,TrKö O,,K,mittel,Letterhausweg,ChWi W,,K,einfach
Leibnizstraße,ChWi W 1,- 10,F,mittel,Lettestraße,Pank O,,K,gut
Leibnizstraße,ChWi W 11,- 91,F,gut,Lettweilerstraße,TrKö O,,K,mittel
Leibnizstraße,ChWi W 92,- 111,F,mittel,Letzkauer Steig,Rein W,,K,mittel
Leichhardtstraße,StZe W,,K,gut,Leubnitzer Weg,Span W,,K,einfach
Leidener Straße,Neuk W,,K,einfach,Leuchtenburgstraße,StZe W,1 - 24,F,mittel
Leinestraße,Neuk W,,K,einfach,Leuchtenburgstraße,StZe W,26 - 36,F,gut
Leipziger Platz,Mitt O,,K,gut,Leuchtenburgstraße,StZe W,37 - 46,F,mittel
Leipziger Straße,Mitt O,,K,gut,Leuenberger Straße,Lich O,,K,mittel
Leisniger Straße,MaHe O,,K,einfach,Leuenberger Zeile,Rein W,,K,einfach
Leistikowstraße,ChWi W,,K,gut,Leunaer Straße,MaHe O,,K,einfach
Lemgoer Straße,Pank O,,K,mittel,Leuningerpfad,ChWi W,,K,einfach
Lemkestraße,MaHe O 1,- 9,F,gut,Leuschnerdamm,FrKr W,,K,einfach
Lemkestraße,MaHe O 10,- 204,F,mittel,Leuthener Straße,TSch W,,K,mittel
Lemkestraße,MaHe O 205,- 208,F,gut,Leuthingerweg,Span W,,K,einfach
Lenaustraße,Neuk W,,K,mittel,Levensauer Straße,MaHe O,,K,gut
Lenaustraße,TSch W,,K,mittel,Levetzowstraße,Mitt W,,K,mittel
Lenbachstraße,FrKr O,,K,gut,Levkoienweg,Neuk W,,K,mittel
Lenbachstraße,StZe W,,K,mittel,Lewaldstraße,Pank O,,K,mittel
Lenbachstraße (Kauld),MaHe O,,K,mittel,Lewishamstraße,ChWi W,,K,gut
Lenbachstraße (Mahld),MaHe O,,K,mittel,Lexisstraße,TrKö O,1 - 19,U,gut
Lengeder Straße,Rein W,,K,einfach,Lexisstraße,TrKö O,4 - 20,G,mittel
Lennéstraße,Mitt W,,K,gut,Leydenallee,StZe W,,K,mittel
Lenther Steig,Span W,,K,einfach,Leykestraße,Neuk W,,K,einfach
Lentzeallee,ChWi W,,K,gut,Lianenweg,TrKö O,,K,mittel
Lentzeallee,StZe W,,K,gut,Libauer Straße,FrKr O,,K,gut
Lenzelpfad,Neuk W,,K,einfach,Libboldallee,TrKö O,,K,mittel
Leo-Baeck-Straße,StZe W 1,- 33,U,gut,Libellenstraße,StZe W,,K,gut
Leo-Baeck-Straße,StZe W 2,- 50,G,gut,Liberdastraße,Neuk W,,K,mittel
Leo-Baeck-Straße,StZe W 51,,U,mittel,Lichtburgring,Mitt W,,K,einfach
Leobschützer Straße,Pank O,,K,mittel,Lichtelfensteg,Pank O,,K,mittel
Leonardo-da-Vinci-Straße,Span W,,K,mittel,Lichtenauer Straße,Lich O,,K,mittel
